location1,location2,location3,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
g4,4,7,191.8, 191.2, 199.6, 197.2, 187.6, 198.4, 200.2, 192.4
g4,4,7,186.4, 188.2, 192.4, 199.0, 186.4, 191.2, 197.2, 190.0
g4,4,7,193.0, 185.8, 190.6, 197.2, 178.0, 193.0, 195.4, 195.4
g4,4,7,191.8, 193.6, 199.0, 202.0, 191.2, 200.8, 200.2, 201.4
g4,4,7,194.8, 191.2, 201.4, 201.4, 192.4, 201.4, 200.8, 199.0
g4,4,7,200.2, 189.4, 201.4, 202.6, 184.6, 196.6, 200.8, 197.8
g4,4,7,196.0, 189.4, 203.2, 206.4, 190.0, 199.6, 191.8, 204.4
g4,4,7,185.8, 175.0, 187.0, 193.6, 181.0, 182.8, 194.2, 187.6
e4,1,7,184.4, 184.2, 204.4, 192.6, 190.0, 190.2, 201.4, 198.6
e4,1,7,197.8, 185.8, 206.8, 187.0, 187.6, 198.4, 197.2, 195.4
e4,1,7,190.0, 194.2, 193.6, 187.6, 186.4, 193.6, 201.4, 200.2
e4,1,7,180.6, 181.2, 188.8, 186.0, 190.0, 189.0, 191.4, 183.4
e4,1,7,179.8, 175.0, 185.8, 185.8, 180.4, 188.2, 188.2, 199.0
e4,1,7,191.8, 189.4, 201.4, 192.4, 192.4, 202.6, 196.6, 195.4
e4,1,7,185.8, 178.0, 183.0, 184.0, 182.5, 184.0, 182.5, 190.0
e4,1,7,181.0, 181.0, 183.4, 184.0, 181.75, 190.0, 201.0, 193.0
e4,1,7,187.0, 185.2, 191.8, 185.8, 192.4, 196.0, 196.6, 196.6
e4,1,7,186.4, 179.8, 195.4, 199.6, 182.8, 197.8, 201.4, 193.6
e4,1,7,196.0, 187.0, 200.0, 193.0, 191.5, 202.0, 195.4, 193.6
e4,1,7,178.6, 176.5, 186.4, 181.6, 179.0, 194.8, 196.6, 186.4




